SentenceID	English	Arabic	SentenceType	SwitchTranslation	Comment
A-1	! --Oh, I'm so sorry. My hand slipped.	اعتذر ، لقد انزلقت يدي .	B-N		
A-2	! April did this to me.	إبريل ) فعلت هذا لي )	B-N		
A-3	! Can I get a quote later?	- أبإمكاني أخذ إقتباس منك لاحقا ؟	B-B		
A-4	! He put this thing in me.	لقد وضع هذا الشئ بداخلي .	B-N		
A-5	! Hey, come on. I got people out there.	هيا ، لدي أشخاص ينتظروني .		HARD	هيا
A-6	! I do, but there are larger things at stake here than revenge.	انا اريد ، لكن هناك امورا على المحك اهم من الانتقام	B-N		
A-7	! I don't give a fuck right now, kid!	أنا لا أبالي الآن يا فتى	B-M	أنا لا أبالي الآن يا فتاة	
A-8	! I let him chase me around for a while... till he got exhausted.	تركته يطاردني لفترة حتى أصبح منهكا	B-N		
A-9	! I taught him that!	لقد علمته ذلك	B-N		
A-10	! I'm so embarrassed.	أنا محرجة للغاية	F-N	أنا محرج للغاية	
A-11	! Look, every Wednesday, I sneak in there,	اسمع ، كل يوم أربعاء ، أقوم بالتسلل إلى هناك ،	B-M	اسمعي ، كل يوم أربعاء ، أقوم بالتسلل إلى هناك ،	
A-12	! Only that he was able to escape with a weapon that he stole from the armory... the dagger that's against my throat.	قال أنه استطاع الهرب باستخدام السلاح الذي سرقه من مستودع الأسلحة . . .	N-N		
A-13	! She called me and said i was insubordinate.	اتصلت بي وقالت لي بأني كنت عاص لها	M-N	اتصلت بي وقالت لي بأني كنت عاصية لها	
A-14	" - I cast 11 red apples! - Then why?"	قمت بالتصويت ب 11 تفاحة حمراء - فإذا كيف حدث هذا ؟	B-N		
A-15	" - Not me! - Me, neither!"	لست أنا - ولا أنا أيضا -		HARD	two sentences
A-16	" And I say: I don't believe that, because the building was a class A building. "	قلت لنفس لا أصدق هذا ، لأن المبني من الدرجة الاولى	B-N		
A-17	" I can't believe I'm coming back from the bahamas With a boyfriend.	لا اصدق اننى سوف اعود من البهاما و لى صديق	B-N		
A-18	" I don't know what that means.	" لاأعلم ماذا يعني هذا	B-N		
A-19	" My own cooks? ".	" بلدي الطهاة الخاصة ؟ " .	B-N		
