SentenceID	English	Arabic	SentenceType	SwitchTranslation	Comment
A-11001	Excuse me, old woman!	! معذرة ، ايتها المرأة العجوز	B-F	! معذرة ، ايها الرجل العجوز	
A-11002	Excuse me, please.	أعذرني ، رجاء .	B-M	أعذريني ، رجاء .	
A-11003	Excuse me, please.	المعذرة ، رجاءا	B-N		
A-11004	Excuse me, screwed up?	أعذرني ، مشدود ؟		HARD	Ambigious (1st/2nd/3rd) مشدود
A-11005	Excuse me, she kidnapped my wedding dress and held a pot of sauce to its head!	. . أعذرني ، لقد اختطفت فستان زفافي ! وحملت قدر صلصة عليه كيف تدافع عنها ؟	B-M	. . أعذريني ، لقد اختطفت فستان زفافي ! وحملت قدر صلصة عليه كيف تدافعين عنها ؟	
A-11006	Excuse me, sir!	إسمح لي ، يا سيدي !	B-M	إسمحي لي ، يا سيدتي !	
A-11007	Excuse me, sir, but, well, it's seven o'clock, sir.	عذرا سيدي ، لكن ، حسنا ، إنها تدق السابعة سيدي .	B-M	عذرا سيدتي ، لكن ، حسنا ، إنها تدق السابعة سيدتي .	
A-11008	Excuse me, sir.	لو سمحت يا سيدي	B-M	لو سمحت يا سيدتي	
A-11009	Excuse me, sir.	عفوا يا سيدي .	B-M	عفوا يا سيدتي .	
A-11010	Excuse me, sir. Come here, please.	المعذرة سيدى تعال هنا من فضلك	B-M	المعذرة سيدتى تعالي هنا من فضلك	
A-11011	Excuse me, sir. Yes.	اسمح لى ، سيدى - نعم -	B-M	اسمحي لى ، سيدتى - نعم -	
A-11012	Excuse me, sir. Yes.	معذره يا سيدي نعم ، انت	B-M	معذره يا سيدتي نعم ، انت	
A-11013	Excuse me, sir?	عذرا يا سيدي ؟ مرحبا ؟	B-M	عذرا يا سيدتي ؟ مرحبا ؟	
A-11014	Excuse me, sir?	عفوا ؟	B-N		
A-11015	Excuse me, staff sergeant.	أستمحيك عذرا . أيها الرقيب ؟	B-M	أستمحيك عذرا . أيتها الرقيبة ؟	
A-11016	Excuse me, then.	إذن ، اعذرنى	B-M	إذن ، اعذرينى	
A-11017	Excuse me, uh... Mr. Welds?	عذرا ، سيد ويلدز	B-M	عذرا ، سيدة ويلدز	
A-11018	Excuse me, wannabees, order up.	عفوا ، ايها المحشور ، علي بتقديم الطلب .	B-M	عفوا ، ايتها المحشورة ، علي بتقديم الطلب .	
A-11019	Excuse me, we're looking for "A really useful book. "	معذره ، نحن نبحث عن اي كتاب مفيد	B!-N		
A-11020	Excuse me, we're not finished in here.	المعذرة ، نحن لم ننتهي هنا بعد	B!-N		
A-11021	Excuse me, what's going on?	معذرة ، ما الذي يجري ؟	B-N		
A-11022	Excuse me, what's that building over there?	لو سمحت ، ما هذا المبنى الذى هناك ؟	N-B		
