SentenceID	English	Arabic	SentenceType	Switch Translation	Comment
C-2973	But the main reason I'm here today is to give you an award.	ولكن السبب الرئيسي الذي أنا هنا اليوم . . . . . . هو أن أعطيك جائزة	B-B	ولكن السبب الرئيسي الذي أنا هنا اليوم . . . . . . هو أن أعطيك جائزة	
C-2974	But the reality is if you got nothing to trade, I can't help you.	لكن الواقع هو ، إن لم تملكي شيئا لتقايضي به ، فلا أستطيع مساعدتك	B-F	لكن الواقع هو ، إن لم تملك شيئا لتقايض به ، فلا أستطيع مساعدتك	
C-6973	I love you, Ben!	؟ - ؟ أحبك يا بين !	B-B		
C-6974	I love you, Brigitte. Gin-gerr! No!	أحبك يا بريدجيت جينجر لا	B-B		
C-6975	I love you, Claire.	أنا أحبك يا ( كلير ) .	B-B		
C-6976	I love you, Clark... more than you will ever know.	أحبك يا ( كلارك ) . . . أكثر مما يمكن أن تتصور .	B-B		
C-6977	I love you, Clay.	( احبك ( كلي	B-B		
C-6978	I love you, Dewey.	أنا أحبك ، وديوي .	B-B		
C-6979	I love you, I got to go.	احبك ، يجب علي الذهاب 277 00 : 11 : 27،725	B-B		
C-6980	I love you, Jack.	وانا كذلك	B-N		
C-6981	I love you, Jean.	- أنا أحبك يا جين	B-B		
C-6982	I love you, Jennifer.	أحبك ، ( جينيفر ) .	B-B		
C-6983	I love you, Lois.	أحبك ( لويس )	B-B		
C-6984	I love you, Portia.	انا احبك بورشا .	B-B		
C-6985	I love you, Vincent.	أحبك ( فينسنت )	B-B		
C-6986	I love you, and I'm sick.	أحبك وأنا مريض	M-B	أحبك وأنا مريضة	
C-6987	I love you, and nothing can change that.	أنا أحبك ولا شيء يمكن تغيير ذلك	B-B		
C-6988	I love you, baby boy.	أحبك يا صغيري	B-M	أحبك يا صغيرتي	
C-6989	I love you, but your hormones are not helping me right now.	أنا أحبك لكن هرموناتك لا تساعدني في الوقت الحالي	B-B		
C-6990	I love you, guys! We love you, too!	احبكم ، يا رفاق مع بعض نحن نحبك ، ايضا		HARD	
C-6991	I love you, just hold on tight.	أحبك تمسكي جيدا	B-F	أحبك تمسك جيدا	
C-6992	I love you, ok?	إتفقنا ؟	B!-N		
C-6993	I love you, okay?	أحبك ، حسنا ؟	B-B		
C-6994	I love you, sweetie.	أحبك يا عزيزتي	B-F	أحبك يا عزيزي	
C-6995	I love you, tipsy.	انا احبك	B-B		
C-6996	I love you, too, Dad, but can we just say it from now on?	أنا أحبك أيضا أبي ، ولكن هل نستطيع أن نقول هذا من الان ؟		HARD	
C-6997	I love you, too, Peyton.	وأنا أحبك أيضا يابايتون	B-B		يابايتون
C-6998	I love you, too, but you cost more than my rent.	أنا أحبكم أيضا ، لكنكم تكلفون أكثر من قيمة إيجار الشقة	B-M!	أنا أحبكن أيضا ، لكنكن تكلفن أكثر من قيمة إيجار الشقة	
C-6999	I love you, too, man!	! وأنا أحبك أيضا ، يا رجل !	B-M	! وأنا أحبك أيضا ، يا امرأة !	
C-7000	I love you, too.	وأنا ايضا أحبك	B-B		
C-7001	I love you, too.	أحبك أيضا	B-B		
C-7002	I love you, too.	وأنا أحبك	B-B		
C-7003	I love you, too. Hurry up.	أراك قريبا ، أحبك	B-B		
C-7004	I love you, too. Ok, so your folks... are they here yet?	وأنا أحبك أيضا حسنا ، إذا بشأن أصحابك	B-B		
C-7005	I love you.	يجب أن أذهب ) حبيبتي ، أحبك .	B-F	يجب أن أذهب ) حبيبي ، أحبك .	
C-7006	I love you.	أمي أحبك !	B-F	أبي أحبك !	
C-7007	I love you.	أنا أحبك	B-B		
C-7008	I love you.	انا احبكم	B-M!	انا احبكن	
C-7009	I love you.	أجبك	B-S		
C-7010	I love you.	أنا أحبك	B-B		
C-7011	I love you.	أحبك . مع السلامة	B-B		
C-7012	I love you.	أحبك .	B-B		
C-7013	I love you.	أحبك .	B-B		
C-7014	I love you. (He speaks informally first, then formally by adding 'yo')	أنا أحبك	B-B		
C-7015	I love you. Bye-bye.	انا احبك ، باى باى	B-B		
C-7016	I love you. Bye.	احبك ، وداعا	B-B		
C-7017	I love you. I don't want to lose you, Christine.	أنا أحببتك - ( لا أريد أن أفقدك يا ( كريستي -	B-B		
C-7018	I love you. I know.	أنا أحبك - أعلم -	B-B		
C-7019	I love you. I love it.	أحبك أهوى ذلك	B-B		
C-7020	I love you. I love you so much.	أحبك أحبك كثيرا	B-B		
C-7021	I love you. I love you, too.	أحبك أحبك أنا أيضا	B-B		
C-7022	I love you. I want you to be mine.	أحبك ، أريد منك أن تكون الألغام ،	B-M	أحبك ، أريد منك أن تكوني الألغام ،	Bad translation
C-7023	I love you. Just the way you are.	أنا أحبك كما أنت بالضبط	B-B		
C-7024	I love you. Oh, I love you, Mrs. C. I love you boys.	احبك ياسيده سى احبكما ياولداى		HARD	احبك - احبكما
C-7025	I love you. That's the only truth I know.	أنا أحبك هذه هى الحقيقه الوحيده التى أعرفها	B-B		
C-7026	I love your American way.	وكم أحب طريقتكم الأمريكية	B-M!	وكم أحب طريقتكن الأمريكية	
C-7027	I love your nose job.	أحب انفك البلاستيكى .	B-B		
C-7028	I loved that sweater. - You made me that sweater.	انا أحب تلك السترة ، أنت صنعتها لي	B-B		
C-7029	I loved that you got yourself a matching McLaren.	أحب أنك أحضرت لنفسك " مكلارين " مطابقة .	B-B		
C-7030	I loved you so much.	. لقد أحببتك كثيرا	B-B		
C-7031	I loved you!	لقد أحببتك	B-B		
C-7032	I made a big mistake listening to you, so I deserve this, but they don't.	لقد قمت بخطأ كبير عندما استمعت لكما أنا أستحق هذا ، لكن هم لا يستحقون ذلك	B-B!		
C-7033	I made a big scandal just to meet you.	فقد تسسبت في فضيحة كبيرة لمقابلتك	B-B		
C-7034	I made a hole! What are you...? (Sarah laughing)	لقد أحدثت ثقبا . . .	B-N		
C-7035	I made a mistake hiring you two guys.	لقد أرتكبت خطأ بإستإجارى لكما	B-B!		
C-7036	I made an extra batch of butter cookies for you and your brothers.	وتخمين الذي ؟ جعلت دفعة إضافية من كوكيز الزبد لك وإخوتك .	B-B		
C-7037	I made copies of your resume.	صنعت نسخة اخرى من بيانات التقديم الخاصة بك ، اعلم	B-B		
C-7038	I made it clear to your firm that there was no need for you to make the journey.	لقد سبق واوضحت لشركتك ان لا حاجه بك الى القدوم	B-B		
C-7039	I made it to help you, Terence. It should've worked.	لقد أردت أن أساعدك يا " تورنس " كان يجب أن تعمل	B-M	لقد أردت أن أساعدك يا " تورنس " كان يجب أن تعملي	
C-7040	I made some lamb kebabs, Ari. You want some?	طبخت بعض الكباب ، تريد ؟	B-M	طبخت بعض الكباب ، تريدين ؟	
C-7041	I made that when I first found out where you were and... what your name was.	لقد قمت بصناعة هذا عندما علمت عن مكان وجودك لأول مرة و . . . ماذا كان اسمك .	B-B		
C-7042	I made the mistake of being your good friend...	أخطأت عندما أصبحت صديقك	M-B	أخطأت عندما أصبحت صديقتك	
C-7043	I made you a tape.	- لقد سجلت لك شريطا	B-B		
C-7044	I made you all rich! Now get the fuck off me!	لقد جعلت منكم أغنياء والآن أبتعد عني		HARD	
C-7045	I made... made you...?	أنا من . . . جعلك . . . ؟	B-B		
C-7046	I make it my business to know what you know, Ms. Sheridan.	شغلي الشاغل هو معرفة . ( ما تعرفين آنسة ( شريدان		HARD	
C-7047	I make this solemn promise to you, Mr. President.	أقدم لك هذا الوعد الرسمي سيدي الرئيس ،	B-M	أقدم لك هذا الوعد الرسمي سيدتي الرئيسة ،	
C-7048	I may be out of shape, but I don't need to bust you up.	ربما لا أملك لياقتا لكني لا أريد القضاء عليك	B-S		لياقتا
C-7049	I may have forged a friendship with you under false pretenses, yes.	هو أنني كونت صداقة مزيفة معك بحجج واهية ، أجل	B-B		
C-7050	I may have had, briefly, mind you...	أسوأ لقد حدث بيننا نوع من . . ،	B!-N		
C-7051	I may not be able to protect you this time.	لأنه أجنبى قد لا أكون قادرا على حمايتك تلك المرة	M-B	لأنه أجنبى قد لا أكون قادرة على حمايتك تلك المرة	
C-7052	I mean I get that you didn't have chemistry...	يعني أنا الحصول على أنك لم يكن لديك الكيمياء . . .	B-B		Bad translation
C-7053	I mean I wouldn't possibly drink the same coffee that you drink just in case yours spilled.	ماكنت لأشرب نفس القهوة التي تشربيها فقط لتعويضك في حال انسكبت قهوتك	B-F	ماكنت لأشرب نفس القهوة التي تشربها فقط لتعويضك في حال انسكبت قهوتك	ماكنت
C-7054	I mean how could you not know Bryce Larkin?	كيف لا تعرفين بشأن ( برايس لاركين ) ؟	N-F	كيف لا تعرف بشأن ( برايس لاركين ) ؟	
C-7055	I mean it, Stavros, if you go, I go, and I can't swim.	( أنا أعني ذلك يا ( ستافروس ان ذهبت فسأذهب ، كما أنني لا استطيع السباحة -	B-B		
C-7056	I mean nobody's seen her on this side of town since you rode out.	أعنى أن أحدا لم يراها فى هذا الجزء من البلدة منذ رحيلك	B-B		
C-7057	I mean she was your child too.	فهي ابنتك أيضا	N-B		
C-7058	I mean there are other... You...	اعنى ان هناك اخريات . . .	B-N		
